Nummer     Titel
609        Toen ik daar zat, verweesd en zonder lied,
610        Zo dor en doods,
611        Wij zullen leven, God zij dank,
612        Wij komen als geroepen
613        Christus is opgestaan,
614        Halleluja!
615        Victimae paschali laudes
616        Christus is opgestanden
617        De Heer is waarlijk opgestaan,
618        Christus lag in de dood terneer,
619        Lof zij God in de hoogste troon,
621        Heerlijk verschenen is de dag
622        Nu triomfeert de Zoon van God
623        O hart, spring op vol vreugde,
624        Christus, onze Heer, verrees,
625        Groen ontluikt de aarde
626        Ik zoek mijn Heer, het graf is leeg,
627        Wij delen verdriet en zorgen
628        Nu moet gij allen vrolijk zijn.
629        Ik ben in mijn hof gekomen,
630        Sta op! Een morgen ongedacht,
631        Tussen waken, tussen dromen,
632        Dit is de dag die de Heer heeft
633        De lichtvorst, de ontluisterde,
634        U zij de glorie, opgestane Heer,
635        De Heer is waarlijk opgestaan, halleluja,
636        Liefde is licht, opnieuw geboren,
637        O vlam van Pasen, steek ons aan,
638        De Heer is waarlijk opgestaan!
639        Christus in het graf geborgen
641        Jezus leeft en ik met Hem!
642        Ik zeg het allen, dat Hij leeft,
643        Zing nu de Heer! Hij zag ons aan,
644        Terwijl wij Hem bewenen,
645        Zing ten hemel toe,
646        De Heer is onze reisgenoot,
647        Voor mensen die naamloos,
648        Zing halleluja, hemel en aarde, zing,
649        O Heer, blijf toch niet vragen.
650        De aarde is vervuld
651        Christus heeft voor ons geleden
652        Zing jubilate voor de Heer,
653        U kennen, uit en tot U leven,
654        Zing nu de Heer, stem allen in
655        Zing voor de Heer een nieuw gezang!
656        Ik ben de wijnstok,
657        Zolang wij ademhalen
658        Gods adem waait zijn woorden uit de hoge
659        Kondig het jubelend aan,
660        Halleluja!
661        Ten hemel opgevaren is, halleluja,
662        Heer, komt in deze tijd
663        Al heeft Hij ons verlaten,
664        Naam van Jezus, nu verheven
665        Om Christus’ wil zijn wij verblijd.
666        De Heer is opgetogen.
667        Hij leeft,
668        Halleluja!
669        Kom o Geest des Heren kom
670        Kom Schepper God, o Heilige Geest,
671        Nu bidden wij de Heilige Geest
672        Kom laat ons deze dag
673        Heilige liefdeskracht,
674        O God, die op het Pinksterfeest
675        Geest van hierboven,
676        De wind, wij zien hem niet,
677        Geest, uit de hemel neergedaald,
678        Vrees niet, gij land, verheug u en wees blijde
679        Geweldige, gedreven wind,
680        Kom, heilige Geest, Gij vogel Gods,
681        Veni Sancte Spiritus,
682        Dit is het wonder: de kracht van de Geest
683        ’t Is feest vandaag, ’t is pinksterfeest,
684        Uit het wachten komt de vonk
685        Geest van God, zo vol van liefde,
686        De Geest des Heren heeft
687        Wij leven van de wind
688        Heilige Geest,
689        Wat altijd is geweest,
690        Taal op de tong,
691        De Geest van God waait als een wind
692        Wij wachten op de Geest beloofd
693        Wij vieren vandaag het feest
694        Dat wij volstromen met levensadem
695        Heer, raak mij aan met uw adem,
696        Maak warm wat koud is,
697        Kom Schepper, Geest Jij,
698        Zend uw Geest, uw liefde, God,
699        O pinksterdag, paasfeest in ’t goud:
700        Als de wind die waait met vlagen,
701        Zij zit als een vogel, broedend op het water,
702        Geschenk uit de hemel, wolken en vuur:
703        Alles uit Hem ontstaan,
704        Dank, dank nu allen God
705        Ere zij aan God, de Vader,
706        Dans mee met Vader, Zoon en Geest,
707        Dragende, moederlijke God,
708        Wilhelmus van Nassouwe
709        Nooit lichter ving de lente aan
712        Het jaar neigt zich tot stille groet,
713        Wij moeten Gode zingen
714        Dat ik recht kan staan
715        Zoals de halmen buigen in de wind
716        Zaaien, maaien, oogsten.
717        Waartoe geploegd, als ’t zaad
718        God, die leven
719        Loof God voor de vruchten van boomgaard en land,
720        Alleen te leven om te zwoegen,
721        Houd ons bijeen, God, rond uw woord,
722        Uw stem, Heer, hebben wij gehoord,
723        Waar God de Heer zijn schreden zet
724        Juich, rechtvaardigen, voor uw God,
725        Gij boden rond Gods troon,
726        Hoor, een heilig koor van stemmen,
727        Voor alle heiligen in de heerlijkheid
728        De heiligen ons voorgegaan,
729        Zij gaan op naar de stad van de vrede,
730        Heer, herinner u de namen
731        Vergeet niet hoe wij heten:
732        Voor de toegewijden,
733        Vrienden die zijn overleden,
734        Beati voi poveri,
735        Gij, die de mens geschapen hebt
736        Dat ons zorgen en werken
737        Jeruzalem, mijn vaderstad,
738        Kom zing het lied van Eva,
739        Wat heeft Maria ons bewaard,
740        Maria heeft ontvangen
741        Een engel roept de oude man,
742        Wees geprezen, bron en schenker,
743        Wij offerden aan goden
744        Sint Maarten, strijdbaar man
745        Uit de schemer van de tijden
746        Sion mijn vaderland
747        Eens komt de grote zomer
748        Het duurt niet lang meer tot de tijd
749        ‘Op, waak op!’ zo klinkt het luide.
750        Jeruzalem, jij stad door God gebouwd,
751        De Heer verschijnt te middernacht!
752        Hoe glanst bij Gods kinderen het innerlijk leven,
753        Er is een land van louter licht
754        Liefde Gods die elk beminnen
755        Toch overwint eens de genade,
756        Laat komen, Heer, uw rijk,
757        I looked over Jordan, and what did I see
758        Bij ’t steken der bazuinen
759        Gods kinderen op aarde
760        Gij zijt de zin van wat wij zijn,
761        Zoals het witte bliksemlicht
762        De Heer richt op zijn berg een maaltijd aan,
763        Zij zullen de wereld bewonen,
764        Een zaaier ging uit om te zaaien,
765        Gij hebt met uw brede gebaren
766        Ik zag een nieuwe hemel zich verheffen,
767        De toekomst van de Heer is daar
768        De hemel van hier
769        Eens, als de bazuinen klinken,
770        De Here, de heerser der aarde,
771        Ik weet van een stad die komen zal,
772        Jesaja heeft eeuwen geleden voorzien
773        Van grond en vuur zult Gij ons maken,
774        Ik ben, zegt Gij, de eerste en de laatste,
775        Dag der dagen, als de tijden
776        Er wordt een nieuwe stad gebouwd,
777        Hem komt alle eer toe:
778        O Here God, – ons liefst verlangen,
779        In de ongerepte morgen,
780        In de schoot van mijn moeder geweven,
781        Kind van God gegeven,
782        Het koninkrijk is voor een kind dat zorgeloos speelt
783        Voor mij is geluk
784        Samen spelen, zingen,
785        Dat heb je soms.
786        Wij zingen God ter ere
787        Wijs mij niet af, ik kan je niet verlaten,
788        God die in het begin
789        Delf mijn gezicht op, maak mij mooi.
790        Hoog als de hemel de liefde,
791        Liefde, eenmaal uitgesproken
792        Kom, God, en schrijf uw eigen naam
793        Bron van liefde, licht en leven,
794        Gods zegen bidden wij je toe:
795        Wat ons bond, God, is verbroken,
796        U Here Jezus roep ik aan,
797        Ach hoe vluchtig, ach hoe nietig
798        Heer geef mij vleugels dat ik reis
799        Kom, kinderen niet dralen,
800        Wat zou ik zonder U geweest zijn,
801        Door de nacht van strijd en zorgen
802        Door de wereld gaat een woord
803        Uit Oer is hij getogen,
